Enter matrix size:Enter count: 
0.50000 0.00000 0.00000 0.00000 0.50000 
0.00000 0.00000 0.50000 0.00000 0.00000 
0.50000 0.00000 0.00000 0.50000 0.00000 
0.00000 0.50000 0.00000 0.00000 0.00000 
0.00000 0.50000 0.50000 0.00000 0.00000 

0.25000 0.25000 0.25000 0.00000 0.25000 
0.25000 0.00000 0.00000 0.25000 0.00000 
0.25000 0.25000 0.00000 0.00000 0.25000 
0.00000 0.00000 0.25000 0.00000 0.00000 
0.25000 0.00000 0.25000 0.25000 0.00000 

0.25000 0.12500 0.25000 0.12500 0.12500 
0.12500 0.12500 0.00000 0.00000 0.12500 
0.12500 0.12500 0.25000 0.00000 0.12500 
0.12500 0.00000 0.00000 0.12500 0.00000 
0.25000 0.12500 0.00000 0.12500 0.12500 

0.25000 0.12500 0.12500 0.12500 0.12500 
0.06250 0.06250 0.12500 0.00000 0.06250 
0.18750 0.06250 0.12500 0.12500 0.06250 
0.06250 0.06250 0.00000 0.00000 0.06250 
0.12500 0.12500 0.12500 0.00000 0.12500 

0.18750 0.12500 0.12500 0.06250 0.12500 
0.09375 0.03125 0.06250 0.06250 0.03125 
0.15625 0.09375 0.06250 0.06250 0.09375 
0.03125 0.03125 0.06250 0.00000 0.03125 
0.12500 0.06250 0.12500 0.06250 0.06250 

0.15625 0.09375 0.12500 0.06250 0.09375 
0.07813 0.04688 0.03125 0.03125 0.04688 
0.10938 0.07813 0.09375 0.03125 0.07813 
0.04688 0.01563 0.03125 0.03125 0.01563 
0.12500 0.06250 0.06250 0.06250 0.06250 

0.14063 0.07813 0.09375 0.06250 0.07813 
0.05469 0.03906 0.04688 0.01563 0.03906 
0.10156 0.05469 0.07813 0.04688 0.05469 
0.03906 0.02344 0.01563 0.01563 0.02344 
0.09375 0.06250 0.06250 0.03125 0.06250 

0.11719 0.07031 0.07813 0.04688 0.07031 
0.05078 0.02734 0.03906 0.02344 0.02734 
0.08984 0.05078 0.05469 0.03906 0.05078 
0.02734 0.01953 0.02344 0.00781 0.01953 
0.07813 0.04688 0.06250 0.03125 0.04688 

0.09766 0.05859 0.07031 0.03906 0.05859 
0.04492 0.02539 0.02734 0.01953 0.02539 
0.07227 0.04492 0.05078 0.02734 0.04492 
0.02539 0.01367 0.01953 0.01172 0.01367 
0.07031 0.03906 0.04688 0.03125 0.03906 

0.08398 0.04883 0.05859 0.03516 0.04883 
0.03613 0.02246 0.02539 0.01367 0.02246 
0.06152 0.03613 0.04492 0.02539 0.03613 
0.02246 0.01270 0.01367 0.00977 0.01270 
0.05859 0.03516 0.03906 0.02344 0.03516 

0.07129 0.04199 0.04883 0.02930 0.04199 
0.03076 0.01807 0.02246 0.01270 0.01807 
0.05322 0.03076 0.03613 0.02246 0.03076 
0.01807 0.01123 0.01270 0.00684 0.01123 
0.04883 0.02930 0.03516 0.01953 0.02930 

0.06006 0.03564 0.04199 0.02441 0.03564 
0.02661 0.01538 0.01807 0.01123 0.01538 
0.04468 0.02661 0.03076 0.01807 0.02661 
0.01538 0.00903 0.01123 0.00635 0.00903 
0.04199 0.02441 0.02930 0.01758 0.02441 

0.05103 0.03003 0.03564 0.02100 0.03003 
0.02234 0.01331 0.01538 0.00903 0.01331 
0.03772 0.02234 0.02661 0.01538 0.02234 
